Inventory_ID,Product_ID,Warehouse,Stock_Available,,,
I145,P145,WH-B,289,,,
I146,P146,WH-A,278,,,
I147,P147,WH-C,62,,,
I148,P148,WH-B,381,,,
I149,P149,WH-B,42,,,
I150,P150,WH-A,125,,,
I151,P151,WH-B,403,,,
I152,P152,WH-C,302,,,
I153,P153,WH-A,202,,,
I154,P154,WH-B,327,,,
I155,P155,WH-B,342,,,
I156,P156,WH-B,139,,,
I157,P157,WH-A,483,,,
I158,P158,WH-A,494,,,
I159,P159,WH-A,274,,,
I160,P160,WH-B,185,,,
I161,P161,WH-A,93,,,
I162,P162,WH-A,138,,,
I163,P163,WH-A,45,,,
I164,P164,WH-B,234,,,
I165,P165,WH-C,236,,,
I166,P166,WH-C,283,,,
I167,P167,WH-A,443,,,
I168,P168,WH-C,8,,,
I169,P169,WH-B,42,,,
I170,P170,WH-B,92,,,
I171,P171,WH-C,369,,,
I172,P172,WH-B,449,,,
I173,P173,WH-C,217,,,
I174,P174,WH-C,181,,,
I175,P175,WH-C,148,,,
I176,P176,WH-A,481,,,
I177,P177,WH-A,82,,,
I178,P178,WH-A,307,,,
I179,P179,WH-A,93,,,
I180,P180,WH-C,352,,,
I181,P181,WH-C,242,,,
I182,P182,WH-B,17,,,
I183,P183,WH-B,7,,,
I184,P184,WH-A,164,,,
I185,P185,WH-A,449,,,
I186,P186,WH-A,178,,,
I187,P187,WH-C,141,,,
I188,P188,WH-C,106,,,
I189,P189,WH-A,445,,,
I190,P190,WH-A,409,,,
I191,P191,WH-A,288,,,
I192,P192,WH-A,130,,,
I193,P193,WH-A,136,,,
I194,P194,WH-B,0,,,
I195,P195,WH-A,181,,,
I196,P196,WH-C,375,,,
I197,P197,WH-B,54,,,
I198,P198,WH-C,61,,,
I199,P199,WH-C,418,,,
I200,P200,WH-B,289,,,
