Order_ID,Order_Date,Customer_ID,Product_ID,Region,State,City,Quantity, Unit_Price ,Discount, Sales_Amount , Cost_Amount , Profit ,country
O044,28-07-2025,C055,P188,North,Jaipur,Jaipur,3," ? 4,585.00 ",2,13479.9," ? 9,795.00 ",3684.9,India
O045,02-05-2025,C142,P129,East,Kolkata,Kolkata,5, ? 901.00 ,19,3649.05," ? 4,490.00 ",-840.95,India
O047,11-07-2025,C111,P181,North,Delhi,Delhi,2," ? 3,242.00 ",27,4733.32, ? 342.00 ,4391.32,India
O048,19-11-2025,C086,P130,East,Kolkata,Kolkata,15," ? 4,249.00 ",5,60548.25," ? 20,325.00 ",40223.25,India
O049,20-09-2025,C098,P072,South,Bengaluru,Bengaluru,5," ? 3,281.00 ",0,16405," ? 1,945.00 ",14460,India
O050,23-01-2025,C192,P049,South,Bengaluru,Bengaluru,15," ? 4,565.00 ",17,56834.25," ? 3,540.00 ",53294.25,India
O052,15-11-2025,C037,P138,South,Bengaluru,Bengaluru,1," ? 3,567.00 ",27,2603.91," ? 2,607.00 ",-3.09,India
O055,18-06-2025,C110,P027,North,Delhi,Delhi,9," ? 2,484.00 ",30,15649.2," ? 18,990.00 ",-3340.8,India
O056,01-11-2025,C091,P072,North,Jaipur,Jaipur,10," ? 1,527.00 ",22,11910.6," ? 9,910.00 ",2000.6,India
O057,01-04-2025,C007,P127,East,Kolkata,Kolkata,1," ? 2,430.00 ",14,2089.8," ? 1,488.00 ",601.8,India
O058,16-06-2025,C181,P163,West,Mumbai,Mumbai,12," ? 5,051.00 ",11,53944.68," ? 40,788.00 ",13156.68,India
O060,04-11-2025,C002,P061,North,Jaipur,Jaipur,11," ? 3,071.00 ",14,29051.66," ? 13,673.00 ",15378.66,India
O061,16-07-2025,C150,P159,North,Lucknow,Lucknow,11," ? 2,261.00 ",22,19399.38," ? 9,548.00 ",9851.38,India
O062,07-04-2025,C065,P140,South,Bengaluru,Bengaluru,15," ? 2,558.00 ",16,32230.8," ? 20,115.00 ",12115.8,India
O063,27-07-2025,C023,P060,South,Bengaluru,Bengaluru,9," ? 1,583.00 ",6,13392.18," ? 4,914.00 ",8478.18,India
O064,19-11-2025,C153,P170,East,Kolkata,Kolkata,11," ? 1,527.00 ",10,15117.3," ? 1,408.00 ",13709.3,India
O065,19-07-2025,C062,P020,North,Jaipur,Jaipur,4," ? 1,912.00 ",14,6577.28," ? 5,136.00 ",1441.28,India
O066,12-09-2025,C147,P198,South,Bengaluru,Bengaluru,13, ? 624.00 ,27,5921.76," ? 5,889.00 ",32.76,India
O067,28-02-2025,C068,P115,North,Jaipur,Jaipur,8, ? 658.00 ,13,4579.68," ? 1,960.00 ",2619.68,India
O068,17-09-2025,C025,P117,North,Lucknow,Lucknow,11," ? 5,389.00 ",6,55722.26," ? 11,726.00 ",43996.26,India
O069,28-08-2025,C040,P014,East,Kolkata,Kolkata,13," ? 2,486.00 ",30,22622.6," ? 8,177.00 ",14445.6,India
O070,20-04-2025,C026,P060,East,Kolkata,Kolkata,6," ? 1,936.00 ",6,10919.04," ? 4,602.00 ",6317.04,India
O071,22-11-2025,C016,P002,East,Kolkata,Kolkata,1," ? 2,625.00 ",25,1968.75, ? 308.00 ,1660.75,India
O072,04-08-2025,C079,P161,West,Mumbai,Mumbai,7," ? 1,234.00 ",4,8292.48," ? 5,306.00 ",2986.48,India
O074,06-06-2025,C193,P167,South,Bengaluru,Bengaluru,13," ? 5,007.00 ",12,57280.08," ? 23,738.00 ",33542.08,India
O075,06-01-2025,C189,P092,North,Lucknow,Lucknow,13," ? 1,829.00 ",29,16881.67," ? 3,406.00 ",13475.67,India
O076,07-08-2025,C008,P092,South,Bengaluru,Bengaluru,3," ? 1,383.00 ",0,4149," ? 3,954.00 ",195,India
O077,02-08-2025,C130,P155,South,Bengaluru,Bengaluru,14," ? 1,343.00 ",21,14853.58," ? 7,630.00 ",7223.58,India
O078,30-03-2025,C172,P034,East,Kolkata,Kolkata,5," ? 2,945.00 ",16,12369," ? 4,900.00 ",7469,India
O079,11-02-2025,C047,P164,North,Lucknow,Lucknow,15," ? 1,484.00 ",24,16917.6," ? 15,945.00 ",972.6,India
O080,15-07-2025,C197,P108,North,Lucknow,Lucknow,1, ? 395.00 ,4,379.2, ? 257.00 ,122.2,India
O081,16-05-2025,C131,P189,North,Jaipur,Jaipur,3," ? 5,912.00 ",9,16139.76," ? 13,914.00 ",2225.76,India
O082,21-04-2025,C009,P134,North,Lucknow,Lucknow,15," ? 5,870.00 ",13,76603.5," ? 40,980.00 ",35623.5,India
O083,06-10-2025,C123,P120,North,Jaipur,Jaipur,5, ? 373.00 ,5,1771.75," ? 1,080.00 ",691.75,India
O084,14-07-2025,C101,P004,North,Delhi,Delhi,6, ? 423.00 ,10,2284.2," ? 1,284.00 ",1000.2,India
O085,28-02-2025,C092,P103,South,Bengaluru,Bengaluru,14," ? 2,238.00 ",10,28198.8," ? 15,960.00 ",12238.8,India
O086,03-01-2025,C126,P080,North,Delhi,Delhi,11," ? 3,808.00 ",16,35185.92," ? 5,808.00 ",29377.92,India
O087,08-06-2025,C105,P167,North,Jaipur,Jaipur,3, ? 950.00 ,29,2023.5," ? 2,778.00 ",-754.5,India
O088,19-11-2025,C030,P198,North,Lucknow,Lucknow,10," ? 1,493.00 ",15,12690.5," ? 4,000.00 ",8690.5,India
O089,28-03-2025,C006,P113,West,Mumbai,Mumbai,7, ? 899.00 ,2,6167.14," ? 4,193.00 ",1974.14,India
O090,06-05-2025,C019,P083,East,Kolkata,Kolkata,11," ? 3,833.00 ",11,37525.07," ? 23,045.00 ",14480.07,India
O091,19-01-2025,C014,P080,North,Lucknow,Lucknow,10," ? 2,369.00 ",30,16583," ? 19,290.00 ",-2707,India
O092,15-08-2025,C143,P029,North,Delhi,Delhi,3," ? 5,411.00 ",6,15259.02," ? 5,118.00 ",10141.02,India
O093,19-12-2025,C197,P049,North,Lucknow,Lucknow,7," ? 2,586.00 ",24,13757.52," ? 14,329.00 ",-571.48,India
O094,25-03-2025,C147,P174,North,Delhi,Delhi,12," ? 1,321.00 ",3,15376.44," ? 7,512.00 ",7864.44,India
O095,25-12-2025,C089,P179,North,Lucknow,Lucknow,4," ? 2,858.00 ",5,10860.4," ? 6,568.00 ",4292.4,India
O096,11-10-2025,C035,P138,North,Delhi,Delhi,9," ? 4,252.00 ",3,37119.96," ? 36,252.00 ",867.96,India
O097,19-03-2025,C190,P090,North,Jaipur,Jaipur,15," ? 2,346.00 ",26,26040.6," ? 16,020.00 ",10020.6,India
O098,05-07-2025,C185,P012,North,Jaipur,Jaipur,14," ? 2,839.00 ",11,35373.94," ? 33,012.00 ",2361.94,India
O100,26-11-2025,C029,P175,South,Bengaluru,Bengaluru,10, ? 761.00 ,29,5403.1," ? 3,370.00 ",2033.1,India
O101,01-05-2025,C042,P052,West,Mumbai,Mumbai,8," ? 5,968.00 ",20,38195.2," ? 24,176.00 ",14019.2,India
O102,16-06-2025,C069,P032,North,Lucknow,Lucknow,1," ? 2,641.00 ",26,1954.34, ? 403.00 ,1551.34,India
O103,06-04-2025,C189,P073,South,Bengaluru,Bengaluru,4," ? 1,503.00 ",27,4388.76," ? 4,028.00 ",360.76,India
O104,24-08-2025,C055,P011,East,Kolkata,Kolkata,7," ? 5,226.00 ",19,29631.42," ? 23,030.00 ",6601.42,India
O105,09-01-2025,C013,P164,East,Kolkata,Kolkata,9," ? 5,460.00 ",22,38329.2," ? 43,173.00 ",-4843.8,India
O106,09-10-2025,C096,P108,East,Kolkata,Kolkata,7," ? 3,597.00 ",17,20898.57," ? 19,656.00 ",1242.57,India
O107,08-08-2025,C097,P112,East,Kolkata,Kolkata,14," ? 5,313.00 ",16,62480.88," ? 62,132.00 ",348.88,India
O108,27-11-2025,C146,P112,North,Lucknow,Lucknow,2, ? 302.00 ,16,507.36, ? 364.00 ,143.36,India
O109,08-11-2025,C105,P006,West,Mumbai,Mumbai,15," ? 3,663.00 ",4,52747.2," ? 35,580.00 ",17167.2,India
O110,15-07-2025,C084,P100,East,Kolkata,Kolkata,12, ? 942.00 ,8,10399.68," ? 7,860.00 ",2539.68,India
O111,29-04-2025,C137,P097,South,Bengaluru,Bengaluru,3," ? 1,650.00 ",27,3613.5," ? 4,626.00 ",-1012.5,India
O112,05-12-2025,C071,P015,North,Delhi,Delhi,5, ? 669.00 ,28,2408.4," ? 3,120.00 ",-711.6,India
O113,06-06-2025,C016,P006,West,Mumbai,Mumbai,1," ? 4,117.00 ",2,4034.66, ? 213.00 ,3821.66,India
O114,28-06-2025,C104,P188,North,Jaipur,Jaipur,8," ? 4,177.00 ",20,26732.8," ? 29,808.00 ",-3075.2,India
O115,26-06-2025,C192,P004,South,Bengaluru,Bengaluru,11," ? 2,255.00 ",24,18851.8," ? 9,713.00 ",9138.8,India
O116,31-08-2025,C183,P086,North,Jaipur,Jaipur,12," ? 1,949.00 ",29,16605.48," ? 22,824.00 ",-6218.52,India
O117,11-08-2025,C165,P027,East,Kolkata,Kolkata,6," ? 2,122.00 ",0,12732," ? 3,222.00 ",9510,India
O118,03-04-2025,C053,P078,North,Lucknow,Lucknow,13," ? 1,938.00 ",2,24690.12," ? 17,745.00 ",6945.12,India
O119,08-09-2025,C099,P169,North,Jaipur,Jaipur,14," ? 2,590.00 ",11,32271.4," ? 34,272.00 ",-2000.6,India
O120,01-12-2025,C173,P137,North,Jaipur,Jaipur,13," ? 5,446.00 ",4,67966.08," ? 34,879.00 ",33087.08,India
O121,14-10-2025,C061,P052,North,Jaipur,Jaipur,12," ? 1,162.00 ",30,9760.8," ? 10,068.00 ",-307.2,India
O122,29-01-2025,C007,P057,North,Delhi,Delhi,9, ? 975.00 ,15,7458.75," ? 2,502.00 ",4956.75,India
O123,20-12-2025,C004,P139,West,Mumbai,Mumbai,9," ? 2,098.00 ",23,14539.14," ? 6,084.00 ",8455.14,India
O124,11-09-2025,C181,P046,North,Jaipur,Jaipur,9," ? 1,007.00 ",20,7250.4," ? 8,847.00 ",-1596.6,India
O126,16-12-2025,C190,P010,West,Mumbai,Mumbai,6," ? 5,789.00 ",8,31955.28," ? 31,878.00 ",77.28,India
O128,25-03-2025,C035,P049,West,Mumbai,Mumbai,11," ? 1,586.00 ",28,12561.12," ? 12,287.00 ",274.12,India
O129,28-08-2025,C098,P125,North,Lucknow,Lucknow,8, ? 277.00 ,22,1728.48," ? 1,928.00 ",-199.52,India
O130,29-10-2025,C086,P064,East,Kolkata,Kolkata,14," ? 5,296.00 ",6,69695.36," ? 11,382.00 ",58313.36,India
O131,10-11-2025,C073,P017,North,Lucknow,Lucknow,6, ? 419.00 ,13,2187.18," ? 1,500.00 ",687.18,India
O132,11-12-2025,C057,P174,East,Kolkata,Kolkata,8," ? 1,368.00 ",12,9630.72," ? 10,848.00 ",-1217.28,India
O133,29-04-2025,C085,P128,South,Bengaluru,Bengaluru,2," ? 2,218.00 ",18,3637.52," ? 4,384.00 ",-746.48,India
O134,02-07-2025,C033,P073,North,Delhi,Delhi,14," ? 1,729.00 ",10,21785.4," ? 18,130.00 ",3655.4,India
O135,07-08-2025,C101,P153,North,Lucknow,Lucknow,1," ? 5,435.00 ",19,4402.35," ? 4,509.00 ",-106.65,India
O136,07-07-2025,C168,P102,North,Jaipur,Jaipur,10," ? 3,896.00 ",3,37791.2," ? 7,610.00 ",30181.2,India
O137,11-10-2025,C069,P092,North,Jaipur,Jaipur,14," ? 1,010.00 ",23,10887.8," ? 9,786.00 ",1101.8,India
O138,22-05-2025,C039,P015,East,Kolkata,Kolkata,1, ? 525.00 ,1,519.75, ? 223.00 ,296.75,India
O139,01-09-2025,C046,P015,East,Kolkata,Kolkata,12," ? 1,029.00 ",15,10495.8," ? 9,324.00 ",1171.8,India
O142,29-12-2025,C055,P167,East,Kolkata,Kolkata,2," ? 2,970.00 ",30,4158," ? 4,976.00 ",-818,India
O143,26-08-2025,C136,P093,North,Lucknow,Lucknow,2," ? 5,230.00 ",0,10460," ? 2,406.00 ",8054,India
O144,10-12-2025,C043,P062,North,Delhi,Delhi,14," ? 2,554.00 ",6,33610.64," ? 23,478.00 ",10132.64,India
O145,05-12-2025,C131,P064,East,Kolkata,Kolkata,13, ? 576.00 ,7,6963.84," ? 4,069.00 ",2894.84,India
O146,22-05-2025,C044,P046,North,Lucknow,Lucknow,8," ? 3,023.00 ",5,22974.8," ? 7,080.00 ",15894.8,India
O147,03-01-2025,C117,P087,North,Jaipur,Jaipur,14," ? 1,779.00 ",30,17434.2," ? 14,854.00 ",2580.2,India
O148,13-03-2025,C155,P026,East,Kolkata,Kolkata,2," ? 1,129.00 ",22,1761.24," ? 1,254.00 ",507.24,India
O149,26-06-2025,C142,P051,East,Kolkata,Kolkata,8," ? 4,169.00 ",18,27348.64," ? 15,920.00 ",11428.64,India
O150,01-11-2025,C181,P184,North,Jaipur,Jaipur,1," ? 3,842.00 ",25,2881.5," ? 3,624.00 ",-742.5,India
O151,03-05-2025,C181,P182,North,Delhi,Delhi,6," ? 5,874.00 ",1,34891.56," ? 18,126.00 ",16765.56,India
O152,09-07-2025,C189,P166,East,Kolkata,Kolkata,6," ? 2,946.00 ",0,17676," ? 11,574.00 ",6102,India
O153,13-07-2025,C114,P189,South,Bengaluru,Bengaluru,7," ? 3,886.00 ",17,22577.66," ? 1,351.00 ",21226.66,India
O154,17-02-2025,C005,P159,East,Kolkata,Kolkata,11," ? 3,374.00 ",17,30804.62," ? 35,530.00 ",-4725.38,India
O155,24-10-2025,C030,P119,North,Delhi,Delhi,8," ? 5,115.00 ",26,30280.8," ? 40,408.00 ",-10127.2,India
O156,16-01-2025,C080,P170,North,Lucknow,Lucknow,8," ? 2,274.00 ",1,18010.08," ? 15,984.00 ",2026.08,India
O157,11-06-2025,C050,P172,North,Jaipur,Jaipur,15," ? 5,614.00 ",24,63999.6," ? 55,665.00 ",8334.6,India
O158,17-11-2025,C170,P037,South,Bengaluru,Bengaluru,10," ? 5,959.00 ",6,56014.6," ? 23,500.00 ",32514.6,India
O159,18-12-2025,C138,P083,East,Kolkata,Kolkata,5," ? 4,828.00 ",9,21967.4," ? 9,990.00 ",11977.4,India
O160,11-06-2025,C105,P009,North,Jaipur,Jaipur,4," ? 5,856.00 ",8,21550.08," ? 19,232.00 ",2318.08,India
O162,31-08-2025,C999,P022,East,Kolkata,Kolkata,6," ? 5,347.00 ",22,25023.96," ? 1,386.00 ",23637.96,India
O163,05-08-2025,C051,P183,West,Mumbai,Mumbai,14," ? 4,938.00 ",3,67058.04," ? 55,888.00 ",11170.04,India
O164,04-04-2025,C068,P184,South,Bengaluru,Bengaluru,8," ? 5,061.00 ",3,39273.36," ? 35,968.00 ",3305.36,India
O165,24-12-2025,C143,P173,North,Lucknow,Lucknow,4, ? 684.00 ,26,2024.64, ? 884.00 ,1140.64,India
O167,04-11-2025,C196,P139,North,Lucknow,Lucknow,14," ? 2,761.00 ",16,32469.36," ? 16,072.00 ",16397.36,India
O168,25-04-2025,C010,P123,South,Bengaluru,Bengaluru,2," ? 3,023.00 ",12,5320.48," ? 2,796.00 ",2524.48,India
O169,12-10-2025,C064,P104,East,Kolkata,Kolkata,14," ? 1,276.00 ",12,15720.32," ? 2,338.00 ",13382.32,India
O170,11-12-2025,C041,P025,North,Delhi,Delhi,1," ? 1,402.00 ",23,1079.54," ? 1,323.00 ",-243.46,India
O171,14-01-2025,C110,P045,North,Delhi,Delhi,3," ? 5,633.00 ",17,14026.17," ? 5,208.00 ",8818.17,India
O172,12-10-2025,C127,P128,East,Kolkata,Kolkata,10," ? 3,384.00 ",15,28764," ? 31,340.00 ",-2576,India
O173,06-08-2025,C065,P066,South,Bengaluru,Bengaluru,1," ? 1,202.00 ",5,1141.9," ? 1,164.00 ",-22.1,India
O174,24-04-2025,C085,P059,North,Jaipur,Jaipur,12," ? 4,583.00 ",23,42346.92," ? 21,936.00 ",20410.92,India
O175,10-06-2025,C037,P092,North,Lucknow,Lucknow,9," ? 5,630.00 ",18,41549.4," ? 22,788.00 ",18761.4,India
O176,11-11-2025,C109,P107,West,Mumbai,Mumbai,11," ? 3,402.00 ",17,31060.26," ? 6,336.00 ",24724.26,India
O177,26-02-2025,C041,P134,East,Kolkata,Kolkata,7," ? 2,464.00 ",27,12591.04," ? 16,275.00 ",-3683.96,India
O179,21-12-2025,C074,P122,North,Delhi,Delhi,11," ? 1,230.00 ",14,11635.8," ? 12,287.00 ",-651.2,India
O183,17-05-2025,C024,P099,West,Mumbai,Mumbai,13, ? 734.00 ,3,9255.74," ? 6,591.00 ",2664.74,India
O184,31-10-2025,C184,P107,North,Lucknow,Lucknow,3," ? 3,992.00 ",13,10419.12," ? 4,119.00 ",6300.12,India
O185,20-05-2025,C043,P024,North,Jaipur,Jaipur,13," ? 4,460.00 ",4,55660.8," ? 40,040.00 ",15620.8,India
O186,10-08-2025,C109,P051,North,Delhi,Delhi,8," ? 5,816.00 ",4,44666.88," ? 23,168.00 ",21498.88,India
O187,03-08-2025,C140,P029,North,Jaipur,Jaipur,5," ? 2,047.00 ",6,9620.9," ? 3,350.00 ",6270.9,India
O188,07-01-2025,C007,P118,North,Jaipur,Jaipur,3," ? 4,295.00 ",20,10308," ? 1,923.00 ",8385,India
O189,15-04-2025,C195,P023,East,Kolkata,Kolkata,15," ? 5,056.00 ",7,70531.2," ? 54,375.00 ",16156.2,India
O190,30-06-2025,C028,P134,North,Jaipur,Jaipur,7, ? 294.00 ,22,1605.24," ? 1,736.00 ",-130.76,India
O192,30-04-2025,C090,P025,North,Delhi,Delhi,7," ? 2,897.00 ",29,14398.09," ? 2,576.00 ",11822.09,India
O193,04-03-2025,C017,P195,North,Lucknow,Lucknow,2, ? 659.00 ,25,988.5, ? 780.00 ,208.5,India
O194,25-11-2025,C003,P186,East,Kolkata,Kolkata,10," ? 3,066.00 ",26,22688.4," ? 28,310.00 ",-5621.6,India
O196,07-05-2025,C139,P028,West,Mumbai,Mumbai,12," ? 3,075.00 ",29,26199," ? 5,640.00 ",20559,India
O197,17-10-2025,C153,P109,South,Bengaluru,Bengaluru,3," ? 1,129.00 ",28,2438.64, ? 705.00 ,1733.64,India
O198,10-07-2025,C001,P065,North,Delhi,Delhi,13," ? 4,706.00 ",11,54448.42," ? 45,630.00 ",8818.42,India
O199,30-12-2025,C019,P151,East,Kolkata,Kolkata,5," ? 2,980.00 ",24,11324," ? 2,495.00 ",8829,India
O200,17-09-2025,C132,P132,East,Kolkata,Kolkata,11," ? 4,879.00 ",8,49375.48," ? 43,725.00 ",5650.48,India
,,,,,,,,,,,,,India
