Product_ID,Product_Name,Category,Sub_Category,Brand,Cost_Price,Selling_Price,,,
P084,Desk,Furniture,Desk,Orbit,4816,7194,,,
P085,Sofa,Furniture,Sofa,Orbit,4866,9134,,,
P086,Tea,Grocery,Tea,Nova,134,244,,,
P087,Tea,Grocery,Tea,Prime,3803,7059,,,
P088,Chair,Furniture,Chair,ABC,2392,2956,,,
P089,Chair,Furniture,Chair,Nova,1041,1671,,,
P090,Laptop,Electronics,Laptop,Zen,2856,3733,,,
P091,Laptop,Electronics,Laptop,Prime,977,1898,,,
P092,Tea,Grocery,Tea,ABC,2712,3958,,,
P093,Rice,Grocery,Rice,Zen,4441,5643,,,
P094,Desk,Furniture,Desk,ABC,2667,5081,,,
P095,Tea,Grocery,Tea,ABC,1350,2351,,,
P096,Sofa,Furniture,Sofa,Prime,118,161,,,
P097,Rice,Grocery,Rice,Zen,4315,5524,,,
P098,Chair,Furniture,Chair,Prime,3907,4892,,,
P099,Chair,Furniture,Chair,Nova,1426,2055,,,
P100,Desk,Furniture,Desk,Nova,1499,2410,,,
P101,Tea,Grocery,Tea,Nova,2440,4565,,,
P102,Chair,Furniture,Chair,ABC,3776,6539,,,
P103,Desk,Furniture,Desk,Prime,973,1864,,,
P104,Laptop,Electronics,Laptop,Zen,1618,2403,,,
P105,Tea,Grocery,Tea,Orbit,269,464,,,
P106,Oil,Grocery,Oil,Nova,3641,7269,,,
P107,Phone,Electronics,Phone,Orbit,4816,8547,,,
P108,Oil,Grocery,Oil,Nova,1597,2929,,,
P109,Phone,Electronics,Phone,Prime,2841,3957,,,
P110,Sofa,Furniture,Sofa,ABC,804,1588,,,
P111,Tablet,Electronics,Tablet,Orbit,988,1294,,,
P112,Laptop,Electronics,Laptop,Orbit,4475,6739,,,
P113,Sofa,Furniture,Sofa,Orbit,1488,2277,,,
P114,Oil,Grocery,Oil,ABC,1040,1542,,,
P115,Rice,Grocery,Rice,Orbit,1278,1753,,,
P116,Chair,Furniture,Chair,Zen,3431,4418,,,
P117,Laptop,Electronics,Laptop,ABC,2401,3824,,,
P118,Sofa,Furniture,Sofa,Prime,2375,4110,,,
P119,Desk,Furniture,Desk,Nova,3089,4386,,,
P120,Rice,Grocery,Rice,ABC,2044,3255,,,
P121,Phone,Electronics,Phone,Orbit,3492,4346,,,
P122,Phone,Electronics,Phone,Zen,2112,3950,,,
P123,Tablet,Electronics,Tablet,Nova,3470,5300,,,
P124,Desk,Furniture,Desk,Orbit,2950,4327,,,
P125,Chair,Furniture,Chair,Prime,188,246,,,
P126,Tea,Grocery,Tea,ABC,3794,6569,,,
P127,Laptop,Electronics,Laptop,ABC,4566,8050,,,
P128,Phone,Electronics,Phone,Prime,510,925,,,
P129,Laptop,Electronics,Laptop,Zen,3091,5075,,,
P130,Laptop,Electronics,Laptop,Prime,3416,6060,,,
P131,Phone,Electronics,Phone,Zen,3840,6726,,,
P132,Tea,Grocery,Tea,ABC,296,392,,,
P133,Tea,Grocery,Tea,Zen,175,339,,,
P134,Oil,Grocery,Oil,Nova,2875,4645,,,
P135,Tablet,Electronics,Tablet,Nova,2757,5203,,,
P136,Oil,Grocery,Oil,Zen,4567,6358,,,
P137,Phone,Electronics,Phone,Zen,3068,4341,,,
P138,Sofa,Furniture,Sofa,Prime,2816,4862,,,
P139,Desk,Furniture,Desk,Prime,1718,3117,,,
P140,Laptop,Electroncs,Laptop,Orbit,3817,7612,,,
P141,Chair,Furniture,Chair,Prime,1268,2072,,,
P142,Laptop,Electronics,Laptop,Prime,3080,4496,,,
P143,Oil,Grocery,Oil,Orbit,1501,2563,,,
P144,Tablet,Electronics,Tablet,Zen,2952,3627,,,
P145,Rice,Grocery,Rice,Zen,4972,7126,,,
P146,Chair,Furniture,Chair,Prime,1784,2927,,,
P147,Oil,Grocery,Oil,Nova,3320,5492,,,
P148,Desk,Furniture,Desk,Zen,3755,5824,,,
P149,Phone,Electronics,Phone,Prime,4779,5742,,,
P150,Rice,Grocery,Rice,Zen,1049,1367,,,
P151,Tablet,Electronics,Tablet,Prime,1936,3799,,,
P152,Oil,Grocery,Oil,Prime,2602,4168,,,
P153,Phone,Electronics,Phone,Zen,4640,8133,,,
P154,Phone,Electronics,Phone,Orbit,1275,2495,,,
P155,Desk,Furniture,Desk,Orbit,1720,2731,,,
P156,Sofa,Furniture,Sofa,Nova,3697,5279,,,
P157,Rice,Grocery,Rice,Prime,1791,3533,,,
P158,Desk,Furniture,Desk,ABC,4759,8025,,,
P159,Chair,Furniture,Chair,Prime,2017,3856,,,
P160,Tablet,Electronics,Tablet,ABC,4180,6855,,,
P161,Rice,Grocery,Rice,Orbit,4449,5992,,,
P162,Tea,Grocery,Tea,Nova,4894,9095,,,
P163,Laptop,Electronics,Laptop,Prime,491,872,,,
P164,Chair,Furniture,Chair,Prime,4584,7445,,,
P165,Laptop,Electronics,Laptop,Zen,914,1473,,,
P166,Tea,Grocery,Tea,Prime,2229,4198,,,
P167,Tea,Grocery,Tea,Zen,4881,6493,,,
P168,Tablet,Electronics,Tablet,Prime,2404,4500,,,
P169,Sofa,Furniture,Sofa,Orbit,3021,3974,,,
P170,Sofa,Furniture,Sofa,ABC,143,178,,,
P171,Desk,Furniture,Desk,Zen,2973,4228,,,
P172,Tea,Grocery,Tea,Nova,3190,3847,,,
P173,Chair,Furniture,Chair,Zen,3240,4338,,,
P174,Oil,Grocery,Oil,Orbit,3227,6392,,,
P175,Tablet,Electronics,Tablet,Orbit,2560,4013,,,
P176,Chair,Furniture,Chair,Nova,135,240,,,
P177,Tablet,Electronics,Tablet,Orbit,2927,5678,,,
P178,Sofa,Furniture,Sofa,Orbit,3264,5419,,,
P179,Laptop,Electronics,Laptop,Zen,3715,4587,,,
P180,Oil,Grocery,Oil,ABC,1263,2252,,,
P181,Tea,Grocery,Tea,Prime,4754,7501,,,
P182,Chair,Furniture,Chair,Prime,3970,4860,,,
P183,Rice,Grocery,Rice,ABC,1270,1881,,,
P184,Phone,Electronics,Phone,Orbit,1451,2249,,,
P185,Sofa,Furniture,Sofa,ABC,794,1033,,,
P186,Phone,Electronics,Phone,ABC,859,1625,,,
P187,Desk,Furniture,Desk,Prime,3586,6786,,,
P188,Laptop,Electronics,Laptop,Orbit,4168,7190,,,
P189,Tea,Grocery,Tea,Orbit,1908,3294,,,
P190,Oil,Grocery,Oil,Zen,792,1249,,,
P191,Phone,Electronics,Phone,Prime,1314,1723,,,
P192,Tablet,Electronics,Tablet,Prime,1956,2849,,,
P193,Oil,Grocery,Oil,ABC,392,633,,,
P194,Sofa,Furniture,Sofa,Orbit,741,1216,,,
P195,Laptop,Electronics,Laptop,Nova,1730,2993,,,
P196,Phone,Electronics,Phone,Zen,453,818,,,
P197,Sofa,Furniture,Sofa,Prime,2394,4342,,,
P198,Oil,Grocery,Oil,Nova,1545,2366,,,
P199,Sofa,Furniture,Sofa,Prime,4889,7457,,,
P200,Sofa,Furniture,Sofa,Prime,1880,2856,,,
