Inventory_ID,Product_ID,Warehouse,Stock_Available,Reorder_Level,Supplier,Last_Restock_Date,Warehouse_City
I092,P092,WH-B,477,58,Alpha,2025-07-12,Kolkata
I093,P093,WH-C,2,62,Gamma,2025-05-16,Kolkata
I094,P094,WH-B,420,85,Beta,2025-01-01,Mumbai
I095,P095,WH-A,259,66,,2025-05-15,Lucknow
I096,P096,WH-C,168,77,,2025-04-02,Mumbai
I097,P097,WH-A,184,57,,2025-03-24,Delhi
I098,P098,WH-C,3,42,,2025-01-17,Bengaluru
I099,P099,WH-B,95,28,Gamma,2025-04-06,Jaipur
I100,P100,WH-C,285,44,Beta,2025-04-17,Kolkata
I101,P101,WH-C,4,47,Alpha,2025-05-18,Delhi
I102,P102,WH-B,450,97,Gamma,2025-04-20,Jaipur
I103,P103,WH-B,426,99,,2025-01-01,Lucknow
I104,P104,WH-A,443,52,,2025-05-19,Lucknow
I105,P105,WH-A,68,59,Alpha,2025-03-23,Delhi
I106,P106,WH-B,395,34,Gamma,2025-03-31,Bengaluru
I107,P107,WH-B,340,80,Alpha,2025-05-13,Delhi
I108,P108,WH-C,217,45,Alpha,2025-04-02,Jaipur
I109,P109,WH-A,321,39,Gamma,2025-01-01,Jaipur
I110,P110,WH-A,322,91,,2025-03-07,Delhi
I111,P111,WH-B,311,44,,2025-05-09,Bengaluru
I112,P112,WH-B,275,42,Gamma,2025-04-24,Bengaluru
I113,P113,WH-B,397,71,Alpha,2025-05-17,Jaipur
I114,P114,WH-B,24,36,,2025-06-14,Bengaluru
I115,P115,WH-C,164,58,,2025-01-18,Kolkata
I116,P116,WH-C,239,67,Gamma,2025-06-04,Jaipur
I117,P117,WH-C,306,40,,2025-07-11,Lucknow
I118,P118,WH-C,191,35,Alpha,2025-01-13,Delhi
I119,P119,WH-B,465,82,,2025-06-21,Mumbai
I120,P120,WH-C,411,84,,2025-03-27,Mumbai
I121,P121,WH-B,215,86,,2025-04-04,Bengaluru
I122,P122,WH-B,24,65,,2025-03-02,Mumbai
I123,P123,WH-A,145,27,Gamma,2025-05-09,Lucknow
I124,P124,WH-B,216,27,Alpha,2025-04-09,Bengaluru
I125,P125,WH-B,162,73,,2025-01-03,Mumbai
I126,P126,WH-C,133,32,,2025-05-19,Lucknow
I127,P127,WH-B,260,30,Alpha,2025-05-01,Mumbai
I128,P128,WH-B,279,70,,2025-04-20,Kolkata
I129,P129,WH-A,155,74,,2025-01-19,Kolkata
I130,P130,WH-B,87,97,Alpha,2025-07-13,Kolkata
I131,P131,WH-B,208,42,,2025-06-16,Lucknow
I132,P132,WH-A,30,59,Alpha,2025-01-27,Bengaluru
I133,P133,WH-C,350,44,,2025-05-06,Kolkata
I134,P134,WH-C,468,54,Alpha,2025-02-21,Jaipur
I135,P135,WH-C,233,45,Alpha,2025-07-19,Jaipur
I136,P136,WH-B,304,100,,2025-06-07,Delhi
I137,P137,WH-C,357,59,Gamma,2025-04-21,Bengaluru
I138,P138,WH-B,32,83,Gamma,2025-04-28,Kolkata
I139,P139,WH-B,92,40,Gamma,2025-06-13,Mumbai
I140,P140,WH-A,210,32,Gamma,2025-06-09,Lucknow
I141,P141,WH-C,104,27,,2025-02-11,Lucknow
I142,P142,WH-A,441,28,,2025-02-13,Mumbai
I143,P143,WH-A,347,30,,2025-01-15,Jaipur
I144,P144,WH-B,130,83,Beta,2025-02-28,Delhi
I145,P145,WH-B,289,67,Gamma,2025-07-14,Mumbai
I146,P146,WH-A,278,71,,2025-02-27,Bengaluru
I147,P147,WH-C,62,82,,2025-02-27,Bengaluru
I148,P148,WH-B,381,47,,2025-01-27,Mumbai
I149,P149,WH-B,42,76,,2025-02-25,Jaipur
I150,P150,WH-A,125,55,Beta,2025-06-01,Lucknow
I151,P151,WH-B,403,48,,2025-02-09,Delhi
I152,P152,WH-C,302,72,Gamma,2025-02-03,Delhi
I153,P153,WH-A,202,75,Gamma,2025-05-04,Delhi
I154,P154,WH-B,327,46,,2025-01-24,Lucknow
I155,P155,WH-B,342,37,Gamma,2025-01-13,Bengaluru
I156,P156,WH-B,139,31,,2025-06-28,Jaipur
I157,P157,WH-A,483,100,Beta,2025-03-23,Mumbai
I158,P158,WH-A,494,72,,2025-05-11,Lucknow
I159,P159,WH-A,274,94,Beta,2025-04-27,Bengaluru
I160,P160,WH-B,185,85,Beta,2025-02-19,Bengaluru
I161,P161,WH-A,93,82,Alpha,2025-01-02,Delhi
I162,P162,WH-A,138,36,,2025-07-15,Kolkata
I163,P163,WH-A,45,76,,2025-01-22,Jaipur
I164,P164,WH-B,234,58,,2025-02-25,Lucknow
I165,P165,WH-C,236,21,Alpha,2025-01-06,Mumbai
I166,P166,WH-C,283,76,Gamma,2025-04-18,Delhi
I167,P167,WH-A,443,69,Alpha,2025-05-17,Jaipur
I168,P168,WH-C,8,51,Gamma,2025-07-01,Bengaluru
I169,P169,WH-B,42,35,Gamma,2025-06-14,Bengaluru
I170,P170,WH-B,92,53,Alpha,2025-02-03,Delhi
I171,P171,WH-C,369,54,,2025-02-08,Lucknow
I172,P172,WH-B,449,100,Alpha,2025-04-02,Jaipur
I173,P173,WH-C,217,89,Alpha,2025-01-21,Kolkata
I174,P174,WH-C,181,69,Alpha,2025-06-20,Mumbai
I175,P175,WH-C,148,99,Beta,2025-04-05,Kolkata
I176,P176,WH-A,481,26,Gamma,2025-01-26,Bengaluru
I177,P177,WH-A,82,34,Gamma,2025-01-05,Kolkata
I178,P178,WH-A,307,46,,2025-01-28,Delhi
I179,P179,WH-A,93,30,Gamma,2025-02-01,Lucknow
I180,P180,WH-C,352,95,,2025-05-21,Delhi
I181,P181,WH-C,242,58,Alpha,2025-01-18,Mumbai
I182,P182,WH-B,17,66,,2025-05-18,Delhi
I183,P183,WH-B,7,67,Gamma,2025-02-13,Mumbai
I184,P184,WH-A,164,81,,2025-01-14,Mumbai
I185,P185,WH-A,449,52,,2025-06-05,Bengaluru
I186,P186,WH-A,178,56,,2025-03-21,Mumbai
I187,P187,WH-C,141,44,,2025-03-23,Bengaluru
I188,P188,WH-C,106,75,Alpha,2025-04-20,Jaipur
I189,P189,WH-A,445,52,,2025-02-10,Mumbai
I190,P190,WH-A,409,29,,2025-01-29,Bengaluru
I191,P191,WH-A,288,44,,2025-02-09,Kolkata
I192,P192,WH-A,130,43,,2025-01-11,Jaipur
I193,P193,WH-A,136,82,,2025-07-04,Jaipur
I194,P194,WH-B,0,21,,2025-02-23,Kolkata
I195,P195,WH-A,181,21,,2025-05-22,Kolkata
I196,P196,WH-C,375,86,Beta,2025-03-16,Delhi
I197,P197,WH-B,54,76,Alpha,2025-03-19,Lucknow
I198,P198,WH-C,61,81,Gamma,2025-02-18,Jaipur
I199,P199,WH-C,418,53,Alpha,2025-06-28,Jaipur
I200,P200,WH-B,289,95,,2025-07-07,Kolkata
