Order_ID,Order_Date,Customer_ID,Product_ID,Region,State,City,Salesperson,Quantity,Unit_Price,Discount,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status,Delivery_Days
O015,2025-03-23,C027,P183,East,Kolkata,Kolkata,Karan,10,3995,11.0,35555.5,32690,2865.5,Card,Returned,9.0
O016,2025-05-16,C096,P068,North,Delhi,Delhi,Aman,13,5305,20.0,55172.0,37414,17758.0,UPI,Delivered,3.0
O017,2025-03-13,C099,P108,West,Mumbai,Mumbai,Karan,7,3287,14.0,19787.739999999998,20580,-792.260000000002,Net Banking,Cancelled,4.0
O018,2025-12-07,C064,P094,North,Delhi,Delhi,Aman,3,3521,10.0,9506.7,4698,4808.700000000001,Card,Delivered,7.0
O019,2025-06-27,C088,P060,North,Delhi,Delhi,Neha,5,3870,27.0,14125.5,12550,1575.5,Wallet,Delivered,10.0
O020,2025-10-08,C030,P045,North,Jaipur,Jaipur,Riya,12,3848,3.0,44790.72,35364,9426.720000000001,Cash,Returned,7.0
O021,2025-01-01,C068,P079,South,Bengaluru,Bengaluru,Aman,5,5887,26.0,21781.9,14865,6916.9000000000015,Wallet,Returned,1.0
O022,2025-10-07,C116,P154,East,Kolkata,Kolkata,Neha,12,1212,26.0,10762.56,3828,6934.5599999999995,UPI,Returned,7.0
O023,2025-08-18,C005,P136,East,Kolkata,Kolkata,Neha,12,5026,,60312.0,24492,35820.0,UPI,Delivered,
O024,2025-08-13,C165,P139,South,Bengaluru,Bengaluru,Neha,2,3572,16.0,6000.96,6562,-561.04,Net Banking,Delivered,5.0
O025,2025-06-10,C057,P157,North,Jaipur,Jaipur,Aman,6,400,11.0,2136.0,2292,-156.0,Cash,Cancelled,5.0
O026,2025-01-09,C140,P128,North,Lucknow,Lucknow,Neha,6,1944,12.0,10264.32,8310,1954.3199999999997,Net Banking,Returned,6.0
O027,2025-09-26,C021,P108,North,Delhi,Delhi,Aman,3,599,27.0,1311.81,636,675.81,UPI,Delivered,8.0
O028,2025-12-23,C085,P106,East,Kolkata,Kolkata,Neha,10,5088,,50880.0,26870,24010.0,Cash,Cancelled,3.0
O029,2025-12-24,C141,P093,South,Bengaluru,Bengaluru,Riya,14,2916,27.0,29801.52,35616,-5814.48,Cash,Cancelled,2.0
O030,2025-08-07,C067,P149,East,Kolkata,Kolkata,Neha,4,802,5.0,3047.6,3040,7.599999999999909,Wallet,Returned,2.0
O031,2025-11-29,C011,P157,North,Jaipur,Jaipur,Neha,12,4285,25.0,38565.0,32748,5817.0,UPI,Delivered,4.0
O032,2025-06-03,C070,P134,North,Lucknow,Lucknow,Riya,6,4374,23.0,20207.88,10302,9905.880000000001,Wallet,Cancelled,8.0
O033,2025-11-28,C122,P183,North,Jaipur,Jaipur,Karan,4,701,15.0,2383.4,2536,-152.5999999999999,Net Banking,Returned,7.0
O034,2025-05-04,C086,P156,East,Kolkata,Kolkata,Aman,3,5487,22.0,12839.58,2655,10184.58,Card,Cancelled,10.0
O035,2025-12-23,C124,P088,North,Delhi,Delhi,Aman,6,3988,30.0,16749.6,4992,11757.599999999999,Cash,Cancelled,2.0
O036,2025-08-03,C017,P069,North,Delhi,Delhi,Karan,7,3193,19.0,18104.31,12929,5175.310000000001,UPI,Cancelled,7.0
O037,2025-09-09,C156,P070,West,Mumbai,Mumbai,Karan,7,3704,25.0,19446.0,15736,3710.0,UPI,Delivered,1.0
O038,2025-12-26,C164,P152,West,Mumbai,Mumbai,Karan,3,4014,4.0,11560.32,2478,9082.32,Wallet,Cancelled,5.0
O039,2025-05-17,C110,P159,East,Kolkata,Kolkata,Karan,5,4881,19.0,19768.050000000003,23315,-3546.949999999997,Net Banking,Returned,9.0
O040,2025-04-12,C049,P136,North,Delhi,Delhi,Aman,10,2438,6.0,22917.199999999997,5440,17477.199999999997,Cash,Returned,2.0
O041,2025-03-15,C052,P042,North,Delhi,Delhi,Neha,11,1953,2.0,21053.34,19910,1143.3400000000001,Cash,Delivered,10.0
O042,2025-02-05,C160,P039,West,Mumbai,Mumbai,Karan,2,2745,21.0,4337.1,2092,2245.1000000000004,Net Banking,Cancelled,9.0
O043,2025-09-19,C102,P160,South,Bengaluru,Bengaluru,Riya,11,360,26.0,2930.4,2937,-6.599999999999909,Card,Cancelled,6.0
O044,2025-07-28,C055,P188,North,Jaipur,Jaipur,Karan,3,4585,2.0,13479.9,9795,3684.8999999999996,Net Banking,Delivered,3.0
O045,2025-05-02,C142,P129,East,Kolkata,Kolkata,Karan,5,901,19.0,3649.05,4490,-840.9499999999998,Net Banking,Delivered,3.0
O046,2025-02-16,C023,P023,North,Lucknow,Lucknow,Aman,10,3631,,36310.0,15200,21110.0,Card,Returned,9.0
O047,2025-07-11,C111,P181,North,Delhi,Delhi,Karan,2,3242,27.0,4733.32,342,4391.32,Card,Cancelled,7.0
O048,2025-11-19,C086,P130,East,Kolkata,Kolkata,Aman,15,4249,5.0,60548.25,20325,40223.25,Wallet,Cancelled,4.0
O049,2025-09-20,C098,P072,South,Bengaluru,Bengaluru,Karan,5,3281,0.0,16405.0,1945,14460.0,Card,Cancelled,6.0
O050,2025-01-23,C192,P049,South,Bengaluru,Bengaluru,Aman,15,4565,17.0,56834.25,3540,53294.25,Net Banking,Cancelled,9.0
O051,2025-07-27,C138,P082,West,Mumbai,Mumbai,Riya,13,3022,,39286.0,15054,24232.0,Card,Delivered,1.0
O052,2025-11-15,C037,P138,South,Bengaluru,Bengaluru,Neha,1,3567,27.0,2603.91,2607,-3.0900000000001455,Net Banking,Cancelled,9.0
O053,2025-11-02,C073,P008,East,Kolkata,Kolkata,Riya,14,949,,13286.0,7952,5334.0,Wallet,Cancelled,4.0
O054,2025-09-17,C061,P088,North,Delhi,Delhi,Aman,1,3286,,3286.0,111,3175.0,Net Banking,Delivered,1.0
O055,2025-06-18,C110,P027,North,Delhi,Delhi,Riya,9,2484,30.0,15649.199999999999,18990,-3340.800000000001,UPI,Cancelled,10.0
O056,2025-11-01,C091,P072,North,Jaipur,Jaipur,Neha,10,1527,22.0,11910.6,9910,2000.6000000000004,Wallet,Delivered,5.0
O057,2025-04-01,C007,P127,East,Kolkata,Kolkata,Riya,1,2430,14.0,2089.8,1488,601.8000000000002,Net Banking,Returned,9.0
O058,2025-06-16,C181,P163,West,Mumbai,Mumbai,Neha,12,5051,11.0,53944.68,40788,13156.68,Wallet,Returned,9.0
O059,2025-02-23,C048,P131,East,Kolkata,Kolkata,Riya,12,2994,,35928.0,2808,33120.0,Card,Returned,10.0
O060,2025-11-04,C002,P061,North,Jaipur,Jaipur,Neha,11,3071,14.0,29051.66,13673,15378.66,Card,Returned,6.0
O061,2025-07-16,C150,P159,North,Lucknow,Lucknow,Neha,11,2261,22.0,19399.38,9548,9851.380000000001,Cash,Cancelled,3.0
O062,2025-04-07,C065,P140,South,Bengaluru,Bengaluru,Riya,15,2558,16.0,32230.8,20115,12115.8,Cash,Cancelled,10.0
O063,2025-07-27,C023,P060,South,Bengaluru,Bengaluru,Aman,9,1583,6.0,13392.179999999998,4914,8478.179999999998,Card,Cancelled,4.0
O064,2025-11-19,C153,P170,East,Kolkata,Kolkata,Riya,11,1527,10.0,15117.300000000001,1408,13709.300000000001,UPI,Cancelled,8.0
O065,2025-07-19,C062,P020,North,Jaipur,Jaipur,Aman,4,1912,14.0,6577.28,5136,1441.2799999999997,Card,Cancelled,1.0
O066,2025-09-12,C147,P198,South,Bengaluru,Bengaluru,Neha,13,624,27.0,5921.76,5889,32.76000000000022,Card,Delivered,5.0
O067,2025-02-28,C068,P115,North,Jaipur,Jaipur,Aman,8,658,13.0,4579.68,1960,2619.6800000000003,Wallet,Cancelled,4.0
O068,2025-09-17,C025,P117,North,Lucknow,Lucknow,Aman,11,5389,6.0,55722.259999999995,11726,43996.259999999995,UPI,Cancelled,7.0
O069,2025-08-28,C040,P014,East,Kolkata,Kolkata,Riya,13,2486,30.0,22622.6,8177,14445.599999999999,Wallet,Delivered,2.0
O070,2025-04-20,C026,P060,East,Kolkata,Kolkata,Karan,6,1936,6.0,10919.039999999999,4602,6317.039999999999,Net Banking,Delivered,1.0
O071,2025-11-22,C016,P002,East,Kolkata,Kolkata,Neha,1,2625,25.0,1968.75,308,1660.75,Wallet,Returned,6.0
O072,2025-08-04,C079,P161,West,Mumbai,Mumbai,Neha,7,1234,4.0,8292.48,5306,2986.4799999999996,Wallet,Returned,1.0
O073,2025-09-02,C060,P012,North,Lucknow,Lucknow,Neha,13,4104,,53352.0,40781,12571.0,Net Banking,Cancelled,3.0
O074,2025-06-06,C193,P167,South,Bengaluru,Bengaluru,Aman,13,5007,12.0,57280.08,23738,33542.08,Cash,Cancelled,10.0
O075,2025-01-06,C189,P092,North,Lucknow,Lucknow,Neha,13,1829,29.0,16881.67,3406,13475.669999999998,Card,Delivered,7.0
O076,2025-08-07,C008,P092,South,Bengaluru,Bengaluru,Neha,3,1383,0.0,4149.0,3954,195.0,Cash,Returned,5.0
O077,2025-08-02,C130,P155,South,Bengaluru,Bengaluru,Aman,14,1343,21.0,14853.58,7630,7223.58,Card,Cancelled,4.0
O078,2025-03-30,C172,P034,East,Kolkata,Kolkata,Karan,5,2945,16.0,12369.0,4900,7469.0,UPI,Delivered,10.0
O079,2025-02-11,C047,P164,North,Lucknow,Lucknow,Neha,15,1484,24.0,16917.6,15945,972.5999999999985,UPI,Cancelled,6.0
O080,2025-07-15,C197,P108,North,Lucknow,Lucknow,Riya,1,395,4.0,379.2,257,122.19999999999999,Card,Cancelled,1.0
O081,2025-05-16,C131,P189,North,Jaipur,Jaipur,Karan,3,5912,9.0,16139.76,13914,2225.76,Net Banking,Returned,5.0
O082,2025-04-21,C009,P134,North,Lucknow,Lucknow,Karan,15,5870,13.0,76603.5,40980,35623.5,Cash,Returned,2.0
O083,2025-10-06,C123,P120,North,Jaipur,Jaipur,Neha,5,373,5.0,1771.75,1080,691.75,Cash,Cancelled,10.0
O084,2025-07-14,C101,P004,North,Delhi,Delhi,Aman,6,423,10.0,2284.2000000000003,1284,1000.2000000000003,UPI,Returned,1.0
O085,2025-02-28,C092,P103,South,Bengaluru,Bengaluru,Aman,14,2238,10.0,28198.8,15960,12238.8,Net Banking,Cancelled,7.0
O086,2025-01-03,C126,P080,North,Delhi,Delhi,Aman,11,3808,16.0,35185.92,5808,29377.92,UPI,Delivered,5.0
O087,2025-06-08,C105,P167,North,Jaipur,Jaipur,Neha,3,950,29.0,2023.5,2778,-754.5,Net Banking,Cancelled,4.0
O088,2025-11-19,C030,P198,North,Lucknow,Lucknow,Neha,10,1493,15.0,12690.5,4000,8690.5,UPI,Delivered,4.0
O089,2025-03-28,C006,P113,West,Mumbai,Mumbai,Aman,7,899,2.0,6167.14,4193,1974.1400000000003,Net Banking,Returned,8.0
O090,2025-05-06,C019,P083,East,Kolkata,Kolkata,Aman,11,3833,11.0,37525.07,23045,14480.07,Net Banking,Delivered,6.0
O091,2025-01-19,C014,P080,North,Lucknow,Lucknow,Aman,10,2369,30.0,16583.0,19290,-2707.0,Cash,Delivered,2.0
O092,2025-08-15,C143,P029,North,Delhi,Delhi,Karan,3,5411,6.0,15259.019999999999,5118,10141.019999999999,UPI,Returned,8.0
O093,2025-12-19,C197,P049,North,Lucknow,Lucknow,Riya,7,2586,24.0,13757.52,14329,-571.4799999999996,UPI,Returned,8.0
O094,2025-03-25,C147,P174,North,Delhi,Delhi,Aman,12,1321,3.0,15376.439999999999,7512,7864.439999999999,Card,Cancelled,10.0
O095,2025-12-25,C089,P179,North,Lucknow,Lucknow,Karan,4,2858,5.0,10860.4,6568,4292.4,Wallet,Returned,5.0
O096,2025-10-11,C035,P138,North,Delhi,Delhi,Aman,9,4252,3.0,37119.96,36252,867.9599999999991,Wallet,Returned,7.0
O097,2025-03-19,C190,P090,North,Jaipur,Jaipur,Riya,15,2346,26.0,26040.6,16020,10020.599999999999,Net Banking,Cancelled,
O098,2025-07-05,C185,P012,North,Jaipur,Jaipur,Neha,14,2839,11.0,35373.94,33012,2361.9400000000023,UPI,Returned,1.0
O099,2025-06-23,C169,P082,North,Delhi,Delhi,Neha,8,1012,,8096.0,2400,5696.0,Net Banking,Delivered,7.0
O100,2025-11-26,C029,P175,South,Bengaluru,Bengaluru,Neha,10,761,29.0,5403.099999999999,3370,2033.0999999999995,Card,Delivered,4.0
O101,2025-05-01,C042,P052,West,Mumbai,Mumbai,Aman,8,5968,20.0,38195.200000000004,24176,14019.200000000004,Card,Returned,10.0
O102,2025-06-16,C069,P032,North,Lucknow,Lucknow,Karan,1,2641,26.0,1954.34,403,1551.34,Wallet,Cancelled,8.0
O103,2025-04-06,C189,P073,South,Bengaluru,Bengaluru,Neha,4,1503,27.0,4388.76,4028,360.7600000000002,Cash,Returned,7.0
O104,2025-08-24,C055,P011,East,Kolkata,Kolkata,Karan,7,5226,19.0,29631.420000000002,23030,6601.420000000002,Cash,Delivered,9.0
O105,2025-01-09,C013,P164,East,Kolkata,Kolkata,Karan,9,5460,22.0,38329.200000000004,43173,-4843.799999999996,Cash,Cancelled,10.0
O106,2025-10-09,C096,P108,East,Kolkata,Kolkata,Karan,7,3597,17.0,20898.57,19656,1242.5699999999997,Cash,Returned,6.0
O107,2025-08-08,C097,P112,East,Kolkata,Kolkata,Karan,14,5313,16.0,62480.88,62132,348.8799999999974,Net Banking,Delivered,6.0
O108,2025-11-27,C146,P112,North,Lucknow,Lucknow,Riya,2,302,16.0,507.35999999999996,364,143.35999999999996,Net Banking,Returned,4.0
O109,2025-11-08,C105,P006,West,Mumbai,Mumbai,Aman,15,3663,4.0,52747.2,35580,17167.199999999997,UPI,Delivered,7.0
O110,2025-07-15,C084,P100,East,Kolkata,Kolkata,Karan,12,942,8.0,10399.68,7860,2539.6800000000003,Cash,Returned,5.0
O111,2025-04-29,C137,P097,South,Bengaluru,Bengaluru,Neha,3,1650,27.0,3613.5,4626,-1012.5,Cash,Cancelled,2.0
O112,2025-12-05,C071,P015,North,Delhi,Delhi,Aman,5,669,28.0,2408.4,3120,-711.5999999999999,Cash,Cancelled,9.0
O113,2025-06-06,C016,P006,West,Mumbai,Mumbai,Karan,1,4117,2.0,4034.66,213,3821.66,Wallet,Returned,6.0
O114,2025-06-28,C104,P188,North,Jaipur,Jaipur,Neha,8,4177,20.0,26732.800000000003,29808,-3075.199999999997,Wallet,Returned,8.0
O115,2025-06-26,C192,P004,South,Bengaluru,Bengaluru,Karan,11,2255,24.0,18851.8,9713,9138.8,Net Banking,Cancelled,10.0
O116,2025-08-31,C183,P086,North,Jaipur,Jaipur,Neha,12,1949,29.0,16605.48,22824,-6218.52,Cash,Returned,8.0
O117,2025-08-11,C165,P027,East,Kolkata,Kolkata,Karan,6,2122,0.0,12732.0,3222,9510.0,Card,Returned,4.0
O118,2025-04-03,C053,P078,North,Lucknow,Lucknow,Karan,13,1938,2.0,24690.12,17745,6945.119999999999,UPI,Returned,4.0
O119,2025-09-08,C099,P169,North,Jaipur,Jaipur,Neha,14,2590,11.0,32271.4,34272,-2000.5999999999985,Cash,Cancelled,5.0
O120,2025-12-01,C173,P137,North,Jaipur,Jaipur,Neha,13,5446,4.0,67966.08,34879,33087.08,Card,Returned,
O121,2025-10-14,C061,P052,North,Jaipur,Jaipur,Karan,12,1162,30.0,9760.8,10068,-307.2000000000007,Card,Cancelled,10.0
O122,2025-01-29,C007,P057,North,Delhi,Delhi,Neha,9,975,15.0,7458.75,2502,4956.75,Card,Returned,5.0
O123,2025-12-20,C004,P139,West,Mumbai,Mumbai,Aman,9,2098,23.0,14539.140000000001,6084,8455.140000000001,Wallet,Delivered,3.0
O124,2025-09-11,C181,P046,North,Jaipur,Jaipur,Riya,9,1007,20.0,7250.400000000001,8847,-1596.5999999999995,UPI,Cancelled,9.0
O125,2025-09-08,C008,P033,West,Mumbai,Mumbai,Neha,4,5720,,22880.0,18644,4236.0,Net Banking,Returned,4.0
O126,2025-12-16,C190,P010,West,Mumbai,Mumbai,Karan,6,5789,8.0,31955.280000000002,31878,77.28000000000247,Card,Returned,10.0
O127,2025-12-20,C117,P082,North,Lucknow,Lucknow,Riya,13,364,,4732.0,3874,858.0,Net Banking,Delivered,2.0
O128,2025-03-25,C035,P049,West,Mumbai,Mumbai,Neha,11,1586,28.0,12561.119999999999,12287,274.119999999999,Wallet,Cancelled,1.0
O129,2025-08-28,C098,P125,North,Lucknow,Lucknow,Aman,8,277,22.0,1728.48,1928,-199.51999999999998,Cash,Cancelled,
O130,2025-10-29,C086,P064,East,Kolkata,Kolkata,Aman,14,5296,6.0,69695.36,11382,58313.36,Cash,Returned,7.0
O131,2025-11-10,C073,P017,North,Lucknow,Lucknow,Riya,6,419,13.0,2187.18,1500,687.1799999999998,UPI,Cancelled,2.0
O132,2025-12-11,C057,P174,East,Kolkata,Kolkata,Neha,8,1368,12.0,9630.72,10848,-1217.2800000000007,Wallet,Cancelled,1.0
O133,2025-04-29,C085,P128,South,Bengaluru,Bengaluru,Neha,2,2218,18.0,3637.5200000000004,4384,-746.4799999999996,Card,Delivered,1.0
O134,2025-07-02,C033,P073,North,Delhi,Delhi,Neha,14,1729,10.0,21785.4,18130,3655.4000000000015,Wallet,Returned,7.0
O135,2025-08-07,C101,P153,North,Lucknow,Lucknow,Karan,1,5435,19.0,4402.35,4509,-106.64999999999964,UPI,Cancelled,7.0
O136,2025-07-07,C168,P102,North,Jaipur,Jaipur,Aman,10,3896,3.0,37791.2,7610,30181.199999999997,UPI,Cancelled,3.0
O137,2025-10-11,C069,P092,North,Jaipur,Jaipur,Neha,14,1010,23.0,10887.800000000001,9786,1101.800000000001,Cash,Returned,9.0
O138,2025-05-22,C039,P015,East,Kolkata,Kolkata,Neha,1,525,1.0,519.75,223,296.75,UPI,Delivered,1.0
O139,2025-09-01,C046,P015,East,Kolkata,Kolkata,Neha,12,1029,15.0,10495.8,9324,1171.7999999999993,UPI,Cancelled,3.0
O140,2025-08-21,C044,P180,South,Bengaluru,Bengaluru,Riya,8,2602,,20816.0,8072,12744.0,Wallet,Cancelled,7.0
O141,2025-02-06,C173,P031,East,Kolkata,Kolkata,Karan,13,1588,,20644.0,9542,11102.0,UPI,Cancelled,6.0
O142,2025-12-29,C055,P167,East,Kolkata,Kolkata,Riya,2,2970,30.0,4158.0,4976,-818.0,Cash,Cancelled,6.0
O143,2025-08-26,C136,P093,North,Lucknow,Lucknow,Neha,2,5230,0.0,10460.0,2406,8054.0,Wallet,Returned,6.0
O144,2025-12-10,C043,P062,North,Delhi,Delhi,Neha,14,2554,6.0,33610.64,23478,10132.64,Cash,Delivered,8.0
O145,2025-12-05,C131,P064,East,Kolkata,Kolkata,Karan,13,576,7.0,6963.839999999999,4069,2894.8399999999992,Card,Cancelled,8.0
O146,2025-05-22,C044,P046,North,Lucknow,Lucknow,Aman,8,3023,5.0,22974.8,7080,15894.8,Net Banking,Cancelled,6.0
O147,2025-01-03,C117,P087,North,Jaipur,Jaipur,Riya,14,1779,30.0,17434.199999999997,14854,2580.199999999997,Cash,Cancelled,4.0
O148,2025-03-13,C155,P026,East,Kolkata,Kolkata,Neha,2,1129,22.0,1761.24,1254,507.24,Card,Cancelled,7.0
O149,2025-06-26,C142,P051,East,Kolkata,Kolkata,Riya,8,4169,18.0,27348.640000000003,15920,11428.640000000003,UPI,Cancelled,2.0
O150,2025-11-01,C181,P184,North,Jaipur,Jaipur,Riya,1,3842,25.0,2881.5,3624,-742.5,Net Banking,Returned,1.0
O151,2025-05-03,C181,P182,North,Delhi,Delhi,Riya,6,5874,1.0,34891.56,18126,16765.559999999998,Cash,Cancelled,8.0
O152,2025-07-09,C189,P166,East,Kolkata,Kolkata,Karan,6,2946,0.0,17676.0,11574,6102.0,Cash,Delivered,3.0
O153,2025-07-13,C114,P189,South,Bengaluru,Bengaluru,Karan,7,3886,17.0,22577.66,1351,21226.66,Card,Returned,10.0
O154,2025-02-17,C005,P159,East,Kolkata,Kolkata,Neha,11,3374,17.0,30804.62,35530,-4725.380000000001,Card,Returned,8.0
O155,2025-10-24,C030,P119,North,Delhi,Delhi,Karan,8,5115,26.0,30280.8,40408,-10127.2,Wallet,Returned,6.0
O156,2025-01-16,C080,P170,North,Lucknow,Lucknow,Riya,8,2274,1.0,18010.079999999998,15984,2026.079999999998,Wallet,Returned,1.0
O157,2025-06-11,C050,P172,North,Jaipur,Jaipur,Karan,15,5614,24.0,63999.6,55665,8334.599999999999,UPI,Returned,7.0
O158,2025-11-17,C170,P037,South,Bengaluru,Bengaluru,Riya,10,5959,6.0,56014.6,23500,32514.6,UPI,Returned,5.0
O159,2025-12-18,C138,P083,East,Kolkata,Kolkata,Karan,5,4828,9.0,21967.4,9990,11977.400000000001,UPI,Cancelled,7.0
O160,2025-06-11,C105,P009,North,Jaipur,Jaipur,Karan,4,5856,8.0,21550.08,19232,2318.0800000000017,Wallet,Returned,10.0
O161,2025-04-01,C107,P074,North,Jaipur,Jaipur,Riya,14,620,,8680.0,1708,6972.0,UPI,Returned,1.0
O162,2025-08-31,C999,P022,East,Kolkata,Kolkata,Riya,6,5347,22.0,25023.96,1386,23637.96,Card,Cancelled,5.0
O163,2025-08-05,C051,P183,West,Mumbai,Mumbai,Riya,14,4938,3.0,67058.04,55888,11170.039999999994,Cash,Cancelled,10.0
O164,2025-04-04,C068,P184,South,Bengaluru,Bengaluru,Neha,8,5061,3.0,39273.36,35968,3305.3600000000006,Cash,Delivered,9.0
O165,2025-12-24,C143,P173,North,Lucknow,Lucknow,Aman,4,684,26.0,2024.6399999999999,884,1140.6399999999999,UPI,Returned,1.0
O166,2025-08-02,C143,P164,North,Jaipur,Jaipur,Aman,9,643,,5787.0,5004,783.0,Cash,Delivered,5.0
O167,2025-11-04,C196,P139,North,Lucknow,Lucknow,Karan,14,2761,16.0,32469.36,16072,16397.36,Wallet,Cancelled,6.0
O168,2025-04-25,C010,P123,South,Bengaluru,Bengaluru,Aman,2,3023,12.0,5320.4800000000005,2796,2524.4800000000005,UPI,Returned,9.0
O169,2025-10-12,C064,P104,East,Kolkata,Kolkata,Riya,14,1276,12.0,15720.32,2338,13382.32,UPI,Cancelled,5.0
O170,2025-12-11,C041,P025,North,Delhi,Delhi,Karan,1,1402,23.0,1079.54,1323,-243.46000000000004,Cash,Delivered,4.0
O171,2025-01-14,C110,P045,North,Delhi,Delhi,Karan,3,5633,17.0,14026.17,5208,8818.17,Wallet,Delivered,1.0
O172,2025-10-12,C127,P128,East,Kolkata,Kolkata,Riya,10,3384,15.0,28764.0,31340,-2576.0,Wallet,Returned,10.0
O173,2025-08-06,C065,P066,South,Bengaluru,Bengaluru,Aman,1,1202,5.0,1141.8999999999999,1164,-22.100000000000136,Card,Returned,9.0
O174,2025-04-24,C085,P059,North,Jaipur,Jaipur,Karan,12,4583,23.0,42346.92,21936,20410.92,UPI,Delivered,4.0
O175,2025-06-10,C037,P092,North,Lucknow,Lucknow,Riya,9,5630,18.0,41549.4,22788,18761.4,Wallet,Returned,
O176,2025-11-11,C109,P107,West,Mumbai,Mumbai,Karan,11,3402,17.0,31060.26,6336,24724.26,UPI,Returned,8.0
O177,2025-02-26,C041,P134,East,Kolkata,Kolkata,Riya,7,2464,27.0,12591.039999999999,16275,-3683.960000000001,Cash,Delivered,9.0
O178,2025-03-26,C152,P034,North,Lucknow,Lucknow,Riya,10,252,,2520.0,1070,1450.0,Net Banking,Cancelled,2.0
O179,2025-12-21,C074,P122,North,Delhi,Delhi,Riya,11,1230,14.0,11635.8,12287,-651.2000000000007,UPI,Cancelled,2.0
O180,2025-09-08,C069,P086,North,Lucknow,Lucknow,Riya,4,1779,,7116.0,728,6388.0,Net Banking,Delivered,2.0
O181,2025-08-08,C194,P173,North,Delhi,Delhi,Aman,6,1288,,7728.0,882,6846.0,Net Banking,Cancelled,2.0
O182,2025-12-16,C058,P135,North,Jaipur,Jaipur,Karan,3,610,,1830.0,1809,21.0,UPI,Delivered,9.0
O183,2025-05-17,C024,P099,West,Mumbai,Mumbai,Aman,13,734,3.0,9255.74,6591,2664.74,Cash,Delivered,1.0
O184,2025-10-31,C184,P107,North,Lucknow,Lucknow,Aman,3,3992,13.0,10419.12,4119,6300.120000000001,Net Banking,Returned,9.0
O185,2025-05-20,C043,P024,North,Jaipur,Jaipur,Aman,13,4460,4.0,55660.799999999996,40040,15620.799999999996,Cash,Delivered,5.0
O186,2025-08-10,C109,P051,North,Delhi,Delhi,Aman,8,5816,4.0,44666.88,23168,21498.879999999997,Net Banking,Delivered,2.0
O187,2025-08-03,C140,P029,North,Jaipur,Jaipur,Karan,5,2047,6.0,9620.9,3350,6270.9,Card,Cancelled,9.0
O188,2025-01-07,C007,P118,North,Jaipur,Jaipur,Neha,3,4295,20.0,10308.0,1923,8385.0,Cash,Returned,3.0
O189,2025-04-15,C195,P023,East,Kolkata,Kolkata,Riya,15,5056,7.0,70531.2,54375,16156.199999999997,Net Banking,Delivered,4.0
O190,2025-06-30,C028,P134,North,Jaipur,Jaipur,Riya,7,294,22.0,1605.24,1736,-130.76,UPI,Delivered,6.0
O191,2025-04-08,C159,P121,West,Mumbai,Mumbai,Karan,1,4097,,4097.0,2970,1127.0,Card,Cancelled,7.0
O192,2025-04-30,C090,P025,North,Delhi,Delhi,Aman,7,2897,29.0,14398.09,2576,11822.09,Cash,Returned,9.0
O193,2025-03-04,C017,P195,North,Lucknow,Lucknow,Riya,2,659,25.0,988.5,780,208.5,Wallet,Cancelled,8.0
O194,2025-11-25,C003,P186,East,Kolkata,Kolkata,Aman,10,3066,26.0,22688.4,28310,-5621.5999999999985,Cash,Returned,
