Product_ID,Product_Name,Category,Sub_Category,Brand,Cost_Price,Selling_Price,Supplier,Rating,Launch_Date
P040,Tea,Electroncs,Tea,Prime,3434,5716,Beta,4.0,2024-07-10
P041,Tablet,Electronics,Tablet,ABC,513,646,Beta,1.0,2024-08-14
P042,Chair,Furniture,Chair,Prime,1833,3008,Gamma,,2025-05-20
P043,Desk,Furniture,Desk,ABC,502,827,Beta,,2024-11-04
P044,Desk,Furniture,Desk,Nova,118,181,Beta,1.0,2025-08-30
P045,Sofa,Furniture,Sofa,Prime,2569,3952,,5.0,2025-01-29
P046,Tea,Grocery,Tea,ABC,1895,2392,,2.0,2025-05-30
P047,Laptop,Electronics,Laptop,Prime,2907,4029,,5.0,2025-03-06
P048,Tablet,Electronics,Tablet,Orbit,1325,2347,Alpha,1.0,2025-01-21
P049,Desk,Furniture,Desk,Prime,2472,4875,Alpha,,2024-11-12
P050,Rice,Grocery,Rice,Nova,1148,1565,,2.0,2024-04-08
P051,Sofa,Furniture,Sofa,Nova,4973,6576,,1.0,2024-04-16
P052,Desk,Furniture,Desk,Nova,1627,3236,Gamma,1.0,2025-06-09
P053,Chair,Furniture,Chair,Zen,3689,6069,,3.0,2025-06-16
P054,Oil,Grocery,Oil,Nova,4005,7564,Gamma,1.0,2024-02-18
P055,Sofa,Furniture,Sofa,ABC,4986,9970,,5.0,2025-10-22
P056,Desk,Furniture,Desk,Zen,4944,6413,Gamma,,2024-04-12
P057,Desk,Furniture,Desk,Prime,213,352,Beta,5.0,2024-08-02
P058,Phone,Electronics,Phone,Prime,3508,5799,,,2025-02-17
P059,Phone,Electronics,Phone,Zen,478,842,Beta,1.0,2024-03-15
P060,Sofa,Furniture,Sofa,Orbit,670,1252,,,2025-03-05
P061,Oil,Grocery,Oil,Orbit,848,1072,,3.0,2024-01-19
P062,Tablet,Electronics,Tablet,Prime,561,874,Alpha,2.0,2025-10-30
P063,Tablet,Electronics,Tablet,ABC,1692,2417,,4.0,2024-11-02
P064,Desk,Electroncs,Desk,Prime,1775,2792,Beta,5.0,2025-05-17
P065,Tea,Grocery,Tea,Orbit,4644,7126,Beta,2.0,2025-09-26
P066,Oil,Grocery,Oil,Orbit,4983,6664,,3.0,2025-04-26
P067,Sofa,Furniture,Sofa,Orbit,2293,3812,Gamma,4.0,2024-08-25
P068,Laptop,Electronics,Laptop,ABC,1698,2197,Beta,1.0,2024-10-26
P069,Laptop,Electronics,Laptop,Orbit,3709,6706,,,2024-03-19
P070,Desk,Electroncs,Desk,ABC,2930,4197,,,2024-01-03
P071,Rice,Grocery,Rice,Nova,4411,7218,,1.0,2024-06-18
P072,Laptop,Electronics,Laptop,Zen,1876,3618,,2.0,2024-04-02
P073,Desk,Furniture,Desk,Nova,2433,4081,,2.0,2024-01-06
P074,Desk,Furniture,Desk,Zen,428,663,,3.0,2025-02-19
P075,Chair,Furniture,Chair,ABC,863,1441,,5.0,2025-02-13
P076,Chair,Furniture,Chair,ABC,4288,6916,Gamma,2.0,2024-06-29
P077,Rice,Grocery,Rice,ABC,3772,7373,Beta,3.0,2024-08-05
P078,Tablet,Electronics,Tablet,Orbit,2445,4585,Alpha,,2025-03-21
P079,Tablet,Electroncs,Tablet,Zen,2462,4179,Beta,,2025-08-22
P080,Chair,Furniture,Chair,Orbit,3586,6669,Beta,4.0,2025-03-26
P081,Tea,Grocery,Tea,Nova,3661,5140,Beta,1.0,2024-02-07
P082,Chair,Furniture,Chair,Prime,2850,3991,Alpha,,2024-07-01
P083,Chair,Furniture,Chair,ABC,3414,6502,Beta,2.0,2024-06-13
P084,Desk,Furniture,Desk,Orbit,4816,7194,Gamma,5.0,2024-06-18
P085,Sofa,Furniture,Sofa,Orbit,4866,9134,,,2025-10-08
P086,Tea,Grocery,Tea,Nova,134,244,Alpha,4.0,2025-01-17
P087,Tea,Grocery,Tea,Prime,3803,7059,Beta,4.0,2025-09-24
P088,Chair,Furniture,Chair,ABC,2392,2956,,4.0,2025-04-10
P089,Chair,Furniture,Chair,Nova,1041,1671,,1.0,2025-09-16
P090,Laptop,Electronics,Laptop,Zen,2856,3733,Beta,,2024-04-02
P091,Laptop,Electronics,Laptop,Prime,977,1898,,1.0,2024-10-31
P092,Tea,Grocery,Tea,ABC,2712,3958,Alpha,1.0,2024-11-29
P093,Rice,Grocery,Rice,Zen,4441,5643,Alpha,,2024-09-09
P094,Desk,Furniture,Desk,ABC,2667,5081,Beta,2.0,2024-08-09
P095,Tea,Grocery,Tea,ABC,1350,2351,Alpha,5.0,2024-03-06
P096,Sofa,Furniture,Sofa,Prime,118,161,Beta,2.0,2024-01-14
P097,Rice,Grocery,Rice,Zen,4315,5524,Gamma,1.0,2025-09-09
P098,Chair,Furniture,Chair,Prime,3907,4892,Gamma,5.0,2024-04-11
P099,Chair,Furniture,Chair,Nova,1426,2055,Alpha,,2024-09-04
P100,Desk,Furniture,Desk,Nova,1499,2410,Alpha,1.0,2025-09-05
P101,Tea,Grocery,Tea,Nova,2440,4565,Gamma,2.0,2025-03-02
P102,Chair,Furniture,Chair,ABC,3776,6539,Alpha,2.0,2024-12-28
P103,Desk,Furniture,Desk,Prime,973,1864,Alpha,3.0,2024-02-21
P104,Laptop,Electronics,Laptop,Zen,1618,2403,,,2024-10-24
P105,Tea,Grocery,Tea,Orbit,269,464,Beta,4.0,2025-09-15
P106,Oil,Grocery,Oil,Nova,3641,7269,,3.0,2025-01-06
P107,Phone,Electronics,Phone,Orbit,4816,8547,,5.0,2024-12-07
P108,Oil,Grocery,Oil,Nova,1597,2929,,,2025-10-11
P109,Phone,Electronics,Phone,Prime,2841,3957,Beta,2.0,2025-07-06
P110,Sofa,Furniture,Sofa,ABC,804,1588,Gamma,3.0,2025-05-12
P111,Tablet,Electronics,Tablet,Orbit,988,1294,,,2024-09-21
P112,Laptop,Electronics,Laptop,Orbit,4475,6739,Gamma,4.0,2024-06-08
P113,Sofa,Furniture,Sofa,Orbit,1488,2277,Gamma,1.0,2024-01-07
P114,Oil,Grocery,Oil,ABC,1040,1542,Alpha,3.0,2025-11-22
P115,Rice,Grocery,Rice,Orbit,1278,1753,,4.0,2025-08-19
P116,Chair,Furniture,Chair,Zen,3431,4418,Beta,2.0,2025-05-25
P117,Laptop,Electronics,Laptop,ABC,2401,3824,Alpha,3.0,2024-04-22
P118,Sofa,Furniture,Sofa,Prime,2375,4110,,3.0,2024-01-24
P119,Desk,Furniture,Desk,Nova,3089,4386,Gamma,3.0,2024-10-13
P120,Rice,Grocery,Rice,ABC,2044,3255,Beta,5.0,2025-09-06
P121,Phone,Electronics,Phone,Orbit,3492,4346,Alpha,3.0,2025-09-07
P122,Phone,Electronics,Phone,Zen,2112,3950,,2.0,2024-05-26
P123,Tablet,Electronics,Tablet,Nova,3470,5300,Alpha,4.0,2025-08-09
P124,Desk,Furniture,Desk,Orbit,2950,4327,Alpha,1.0,2024-07-18
P125,Chair,Furniture,Chair,Prime,188,246,Gamma,1.0,2025-08-07
P126,Tea,Grocery,Tea,ABC,3794,6569,,5.0,2025-05-03
P127,Laptop,Electronics,Laptop,ABC,4566,8050,,4.0,2025-02-05
P128,Phone,Electronics,Phone,Prime,510,925,,3.0,2024-10-11
P129,Laptop,Electronics,Laptop,Zen,3091,5075,Alpha,4.0,2024-12-26
P130,Laptop,Electronics,Laptop,Prime,3416,6060,Alpha,5.0,2025-05-17
P131,Phone,Electronics,Phone,Zen,3840,6726,Alpha,,2024-06-02
P132,Tea,Grocery,Tea,ABC,296,392,,2.0,2025-09-06
P133,Tea,Grocery,Tea,Zen,175,339,Beta,4.0,2024-07-09
P134,Oil,Grocery,Oil,Nova,2875,4645,,3.0,2024-10-11
P135,Tablet,Electronics,Tablet,Nova,2757,5203,,1.0,2025-08-06
P136,Oil,Grocery,Oil,Zen,4567,6358,,4.0,2025-11-19
P137,Phone,Electronics,Phone,Zen,3068,4341,,2.0,2024-06-16
P138,Sofa,Furniture,Sofa,Prime,2816,4862,Gamma,3.0,2025-07-31
P139,Desk,Furniture,Desk,Prime,1718,3117,Gamma,,2024-04-21
P140,Laptop,Electroncs,Laptop,Orbit,3817,7612,Alpha,1.0,2025-01-16
P141,Chair,Furniture,Chair,Prime,1268,2072,Gamma,3.0,2024-10-15
P142,Laptop,Electronics,Laptop,Prime,3080,4496,Alpha,2.0,2025-02-05
P143,Oil,Grocery,Oil,Orbit,1501,2563,Alpha,4.0,2024-08-05
P144,Tablet,Electronics,Tablet,Zen,2952,3627,Alpha,2.0,2025-01-11
P145,Rice,Grocery,Rice,Zen,4972,7126,Gamma,2.0,2024-01-18
P146,Chair,Furniture,Chair,Prime,1784,2927,Alpha,2.0,2024-05-31
P147,Oil,Grocery,Oil,Nova,3320,5492,,2.0,2025-08-22
P148,Desk,Furniture,Desk,Zen,3755,5824,Gamma,1.0,2025-02-01
P149,Phone,Electronics,Phone,Prime,4779,5742,Beta,5.0,2024-08-26
P150,Rice,Grocery,Rice,Zen,1049,1367,Beta,3.0,2025-09-02
P151,Tablet,Electronics,Tablet,Prime,1936,3799,Gamma,,2024-10-25
P152,Oil,Grocery,Oil,Prime,2602,4168,Beta,4.0,2024-08-04
P153,Phone,Electronics,Phone,Zen,4640,8133,,2.0,2025-01-14
P154,Phone,Electronics,Phone,Orbit,1275,2495,Gamma,5.0,2025-04-14
P155,Desk,Furniture,Desk,Orbit,1720,2731,Alpha,4.0,2025-04-27
P156,Sofa,Furniture,Sofa,Nova,3697,5279,Gamma,4.0,2025-05-10
P157,Rice,Grocery,Rice,Prime,1791,3533,Alpha,2.0,2025-05-01
P158,Desk,Furniture,Desk,ABC,4759,8025,,,2025-08-24
P159,Chair,Furniture,Chair,Prime,2017,3856,Beta,1.0,2025-06-28
P160,Tablet,Electronics,Tablet,ABC,4180,6855,,,2025-06-04
P161,Rice,Grocery,Rice,Orbit,4449,5992,,2.0,2025-10-08
P162,Tea,Grocery,Tea,Nova,4894,9095,,3.0,2024-05-26
P163,Laptop,Electronics,Laptop,Prime,491,872,Alpha,3.0,2024-04-26
P164,Chair,Furniture,Chair,Prime,4584,7445,Alpha,,2024-07-15
P165,Laptop,Electronics,Laptop,Zen,914,1473,,,2025-10-10
P166,Tea,Grocery,Tea,Prime,2229,4198,Gamma,4.0,2025-07-19
P167,Tea,Grocery,Tea,Zen,4881,6493,,4.0,2025-01-09
P168,Tablet,Electronics,Tablet,Prime,2404,4500,Beta,3.0,2024-01-31
P169,Sofa,Furniture,Sofa,Orbit,3021,3974,Beta,3.0,2024-08-15
P170,Sofa,Furniture,Sofa,ABC,143,178,Alpha,5.0,2024-05-29
P171,Desk,Furniture,Desk,Zen,2973,4228,Beta,3.0,2024-10-26
P172,Tea,Grocery,Tea,Nova,3190,3847,Alpha,2.0,2024-08-29
P173,Chair,Furniture,Chair,Zen,3240,4338,Beta,5.0,2024-06-16
P174,Oil,Grocery,Oil,Orbit,3227,6392,Beta,5.0,2024-12-16
P175,Tablet,Electronics,Tablet,Orbit,2560,4013,Beta,2.0,2025-06-24
P176,Chair,Furniture,Chair,Nova,135,240,Gamma,1.0,2025-11-16
P177,Tablet,Electronics,Tablet,Orbit,2927,5678,,1.0,2025-09-10
P178,Sofa,Furniture,Sofa,Orbit,3264,5419,,4.0,2024-10-17
P179,Laptop,Electronics,Laptop,Zen,3715,4587,,5.0,2025-03-10
P180,Oil,Grocery,Oil,ABC,1263,2252,Gamma,3.0,2025-09-27
P181,Tea,Grocery,Tea,Prime,4754,7501,,,2025-09-16
P182,Chair,Furniture,Chair,Prime,3970,4860,,3.0,2025-03-13
P183,Rice,Grocery,Rice,ABC,1270,1881,Beta,1.0,2024-01-08
P184,Phone,Electronics,Phone,Orbit,1451,2249,Gamma,1.0,2025-07-14
P185,Sofa,Furniture,Sofa,ABC,794,1033,,5.0,2024-05-12
P186,Phone,Electronics,Phone,ABC,859,1625,Alpha,2.0,2025-05-09
P187,Desk,Furniture,Desk,Prime,3586,6786,Beta,,2024-11-07
P188,Laptop,Electronics,Laptop,Orbit,4168,7190,,5.0,2025-03-25
P189,Tea,Grocery,Tea,Orbit,1908,3294,Gamma,3.0,2025-05-23
P190,Oil,Grocery,Oil,Zen,792,1249,Alpha,,2024-10-12
P191,Phone,Electronics,Phone,Prime,1314,1723,Alpha,1.0,2024-02-18
P192,Tablet,Electronics,Tablet,Prime,1956,2849,Beta,,2024-11-14
P193,Oil,Grocery,Oil,ABC,392,633,,1.0,2024-06-07
P194,Sofa,Furniture,Sofa,Orbit,741,1216,Gamma,5.0,2025-08-31
P195,Laptop,Electronics,Laptop,Nova,1730,2993,,3.0,2024-05-22
P196,Phone,Electronics,Phone,Zen,453,818,Gamma,2.0,2024-05-19
P197,Sofa,Furniture,Sofa,Prime,2394,4342,Gamma,1.0,2024-05-17
P198,Oil,Grocery,Oil,Nova,1545,2366,,2.0,2025-07-02
P199,Sofa,Furniture,Sofa,Prime,4889,7457,Beta,5.0,2024-02-29
P200,Sofa,Furniture,Sofa,Prime,1880,2856,,4.0,2025-09-17
